path,title,type,doc_type,status,tags,related_docs,updated
Docs/GDD/01_Core/게임_컨셉.md,게임 컨셉,core,범용,active,컨셉;장르;타겟유저;방치형;디펜스;하이브리드캐주얼;코어경험,project_vision.md,2025.01
Docs/GDD/01_Core/게임설계_방향성.md,TCA 게임 설계 방향성 v1.0,core,아웃게임,active,설계방향;컨셉;LTV;BM설계;시즌운영;채널경쟁;성장요소,Docs/00_Plan/project_vision.md,2026.03
Docs/GDD/01_Core/무한_모드_컨셉_시공간의_균열.md,무한 모드 컨셉 - 시공간의 균열,core,인게임,superseded,무한모드;엔드게임;타임어택;유물;랭킹;덱스냅샷;시즌;경쟁,,2026.03
Docs/GDD/01_Core/스토리_설정.md,스토리 설정 V5,core,범용,active,스토리;세계관;카마존;캐릭터;SF;블랙코미디;시놉시스,,2026.03
Docs/GDD/01_Core/아웃게임_성장_리뉴얼_기획서.md,아웃게임 성장 리뉴얼 (골드성장),core,아웃게임,active,성장개편;전략선택;운통제;마스터리;경제;덱빌딩;룰브레이크,,2026.03
Docs/GDD/01_Core/아웃게임_성장_설계.md,아웃게임 성장 설계,core,아웃게임,superseded,성장축;장비;유닛;지휘관;골드성장;과금포지션,Docs/00_Plan/project_vision.md,M6 (2025 초)
Docs/GDD/01_Core/인게임_전체_설계서.md,행파냥 전체 규칙 및 시스템 당위성,core,인게임,active,코어루프;소환;머지;웨이브;택틱;경제;유물카지노;인게임설계,Docs/00_Plan/project_vision.md,2026.03
Docs/GDD/01_Core/전략성_강화_기획서.md,전략성 강화,core,유닛,active,전략성;태그시스템;속성;택틱;유닛조합;시너지;상태이상;계열,,2026.03
Docs/GDD/01_Core/지휘관_성장_경제효과_기획서.md,지휘관 성장 효과 (인게임 경제 시나리오),core,아웃게임,active,지휘관;성장효과;웨이브;경제시나리오;이자;투자;밸런스,,2026.03
Docs/GDD/01_Core/지휘관_인게임_경제_시나리오.md,지휘관 성장 효과 (인게임 경제 시나리오),core,유닛,active,지휘관;인게임경제;웨이브;이자;유닛소환;밸런스;성장격차,,2026.03
Docs/GDD/01_Core/초반_플레이_시퀀스.md,초반 플레이 시퀀스 설계,core,유닛,superseded,초반시퀀스;챕터1;챕터2;콘텐츠언락;소환튜토리얼,,M7 (2025 중)
Docs/GDD/02_System/광폭화_로직_개선.md,광폭화 로직 개선 요청,system,적,active,광폭화;스폰;게이지;버그;로직개선,,2026.03
Docs/GDD/02_System/달성_임무_조건_기획서.md,달성 임무 조건 추가,system,적,active,임무;달성조건;미션;프로필;언락;누적;초보자,,2026.03
Docs/GDD/02_System/덱_저장_시스템_기획서.md,덱 저장 시스템,system,적,active,덱저장;스냅샷;하드카피;소프트카피;모의전;스테이지보정,,2026.03
Docs/GDD/02_System/덱_평점_계산_공식.md,덱 평점 계산 공식,system,인게임,active,덱평점;유닛점수;택틱점수;유물점수;시너지점수;스테이지보정,,2026.03
Docs/GDD/02_System/드론_장비_시스템_기획서.md,폴리싱 - 장비개선(드론),system,유닛,active,드론;장비;배틀슈트;머지;합성;성장체감;역할군,,2026.03
Docs/GDD/02_System/랭킹_시스템_기획서.md,스테이지 랭킹,system,아웃게임,active,랭킹;주간랭킹;일간랭킹;경쟁;보상;채널;순위,,2026.03
Docs/GDD/02_System/로컬_푸시_기획서.md,로컬 푸쉬,system,아웃게임,active,푸시;알림;행동력;순찰보상;리텐션;로컬알림;접속유도,,2026.03
Docs/GDD/02_System/리롤_시스템_초안.md,리롤(새로고침) 시스템,system,인게임,superseded,리롤;새로고침;유닛리롤;택틱리롤;판매UX,,M7 (2025 중)
Docs/GDD/02_System/리롤풀보정_밴시스템.md,리롤 Pool 보정 (Ban 시스템),system,인게임,active,리롤;밴;택틱;유닛리롤;확률보정;수렴,,2026.03
Docs/GDD/02_System/박스데이터_순찰보상_타입.md,BoxData 순찰 보상 타입 추가,system,아웃게임,superseded,BoxData;BoxPoolData;순찰보상;상자타입,,M6 (2025 초)
Docs/GDD/02_System/배틀슈트_시스템_명세서.md,배틀슈트 시스템 명세서,system,유닛,active,배틀슈트;지휘관;레벨업;승급;조각;에너지쉘;성장시스템,,2026.03
Docs/GDD/02_System/밸런스_변경사항.md,TCA 밸런스 변경 사항,system,유닛,active,밸런스;등급성능;조합식;전설유닛;속성;티어,Docs/01_System/유닛_승급_강화_연출_기획서.md,2026.03
Docs/GDD/02_System/보상_기본_규칙.md,보상 기본 규칙,system,아웃게임,superseded,보상;골드;장비상자;경험치;순찰;웨이브,,M6 (2025 초)
Docs/GDD/02_System/부대_능력치_정보.md,부대 능력치 정보,system,범용,active,부대능력치;공격력;생존;유틸리티;스탯;버프,,2026.03
Docs/GDD/02_System/상태이상_강화.md,5대 속성 상태이상(디버프) 전/후 수치 비교 명세서,system,범용,active,상태이상;디버프;CC;약화;지속시간;밸런스개편,,2026.03
Docs/GDD/02_System/성장_밸런스_기획서.md,성장 밸런스 리포트,system,아웃게임,active,밸런스;전투력산출;합연산;배율;성장구간;롱런설계;CP,,2026.03
Docs/GDD/02_System/소환_확률_고정.md,아웃게임 소환 확률 고정,system,유닛,superseded,소환;확률고정;ShopDrawData;초반플레이,,M7 (2025 중)
Docs/GDD/02_System/스테이지_보상_개발요청.md,스테이지 보상 개발 요청,system,적,active,스테이지보상;웨이브진행도;골드;장비상자;첫클리어,,2025
Docs/GDD/02_System/스페셜_스폰_패턴_기획서.md,스페셜 스폰 패턴,system,적,active,스폰;패턴;프리팹;웨이브;몬스터;좌표;스킬부여,,2026.03
